"attage","sex","smoker","exposure","actual_dths","expected_dths","actual_mort","expected_mort"
65,"F","U",1545.4925,11,13.88795,0.00711747226207827,0.00898609990019363
65,"M","N",4321.768,28,38.844,0.00647882996033105,0.00898798824925355
65,"M","S",1161.4394,16,21.16197,0.0137760093208479,0.018220468497969
65,"M","U",3224.1561,35,40.0327,0.0108555537990236,0.0124164893877192
65,"U","N",106.5711,1,0.83576,0.00938340694616083,0.00784227618932337
65,"U","S",17.0829,0,0.29103,0,0.0170363345801942
65,"U","U",97.3928,0,1.04506,0,0.0107303619980122
66,"F","N",2237.3984,18,16.13855,0.0080450580459877,0.00721308730711526
66,"F","S",524.9337,3,8.30988,0.00571500743808218,0.0158303420031901
66,"F","U",1470.5337,11,14.33095,0.00748027739860705,0.00974540739868797
66,"M","N",4115.9581,32,40.68937,0.00777461753072754,0.0098857590411331
66,"M","S",1124.6154,18,22.03972,0.0160054717372713,0.0195975619754096
66,"M","U",3398.7909,30,45.95393,0.00882666833078787,0.0135206699535414
66,"U","N",136.9926,3,1.22074,0.021898993084298,0.00891099227257531
66,"U","S",24.2689,1,0.44384,0.0412049989904775,0.0182884267519335
66,"U","U",105.5449,1,1.32358,0.00947464065056672,0.0125404448722771
67,"F","N",2135.0513,9,17.09988,0.00421535538747945,0.00800911903147245
67,"F","S",582.2127,10,9.54588,0.0171758534295112,0.0163958635735703
67,"F","U",1623.1895,8,17.19557,0.00492856810618846,0.0105936922337164
67,"M","N",3889.7957,27,42.46889,0.00694123858484393,0.0109180258490182
67,"M","S",1006.7654,12,21.95354,0.0119193607567364,0.0218060135956202
67,"M","U",3173.5803,39,47.90143,0.0122889595703628,0.0150938137598094
67,"U","N",101.0146,0,1.05731,0,0.0104669028041491
67,"U","S",24.7238,0,0.46549,0,0.0188276074066284
67,"U","U",79.3395,1,1.10087,0.0126040622892758,0.0138754340523951
68,"F","N",1959.2945,10,16.8106,0.00510387795198731,0.00857992506996779
68,"F","S",541.7726,6,9.74697,0.0110747571951775,0.0179908876897798
